@relation filtrado-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C24-L2-V

@attribute Marital_status numeric
@attribute Application_mode numeric
@attribute Application_order numeric
@attribute Course numeric
@attribute Daytime/evening_attendance numeric
@attribute Previous_qualification numeric
@attribute Previous_qualification_(grade) numeric
@attribute Nacionality numeric
@attribute Mother_s_qualification numeric
@attribute Father_s_qualification numeric
@attribute Mother_s_occupation numeric
@attribute Father_s_occupation numeric
@attribute Admission_grade numeric
@attribute Displaced numeric
@attribute Educational_special_needs numeric
@attribute Debtor numeric
@attribute Gender numeric
@attribute Scholarship_holder numeric
@attribute Age_at_enrollment numeric
@attribute International numeric
@attribute Unemployment_rate numeric
@attribute Inflation_rate numeric
@attribute GDP numeric
@attribute TARGET {Dropout,Enrolled,Graduate}

@data
1,1,2,9853,1,1,117,1,1,38,4,9,109.7,1,0,0,0,0,19,0,9.4,-0.8,-3.12,Enrolled
1,39,1,9991,0,1,120,1,38,1,9,4,123.2,0,0,0,0,0,27,0,10.8,1.4,1.74,Enrolled
1,1,6,9147,1,1,128,1,37,37,9,9,116.5,0,0,0,0,0,18,0,7.6,2.6,0.32,Enrolled
1,1,1,9147,1,1,129,1,37,38,4,9,121,1,0,0,0,0,18,0,7.6,2.6,0.32,Enrolled
1,1,3,9500,1,1,143,1,37,38,7,7,133.8,1,0,0,0,0,18,0,9.4,-0.8,-3.12,Enrolled
1,1,1,9147,1,1,130,1,19,37,9,9,131.8,1,0,0,0,1,19,0,7.6,2.6,0.32,Enrolled
1,1,1,9238,1,1,135,1,37,1,3,5,121,0,0,0,0,0,21,0,7.6,2.6,0.32,Enrolled
1,53,1,9085,1,42,140,1,1,1,5,5,143.3,1,0,0,0,0,23,0,8.9,1.4,3.51,Enrolled
1,1,4,9238,1,1,125,1,19,38,9,6,114.9,1,0,1,0,1,19,0,8.9,1.4,3.51,Enrolled
1,1,1,9238,1,1,135,1,37,19,5,10,121,0,0,1,0,0,18,0,7.6,2.6,0.32,Enrolled
1,1,1,9500,1,1,117,1,19,19,194,193,117.4,1,0,0,0,0,19,0,11.1,0.6,2.02,Enrolled
1,1,1,9853,1,1,133,1,37,19,7,7,126.7,1,0,0,0,0,18,0,15.5,2.8,-4.06,Enrolled
1,1,1,9254,1,1,140,1,19,19,9,3,130,0,0,0,1,0,21,0,12.7,3.7,-1.7,Enrolled
1,1,1,9254,1,1,154,1,3,1,2,1,137.2,0,0,0,1,0,20,0,15.5,2.8,-4.06,Enrolled
1,44,1,9085,1,39,130,1,2,2,6,6,130,0,0,0,1,0,20,0,12.4,0.5,1.79,Enrolled
2,42,1,9991,0,6,123,1,37,37,9,9,123,0,0,0,1,0,37,0,9.4,-0.8,-3.12,Enrolled
1,43,1,9670,1,1,142,1,38,1,8,10,138.5,1,0,0,1,0,18,0,13.9,-0.3,0.79,Enrolled
1,1,1,9254,1,1,115,1,19,1,3,7,113.6,0,0,0,1,0,23,0,11.1,0.6,2.02,Enrolled
1,43,1,9670,1,1,141,1,3,2,2,2,133.3,1,0,0,1,0,18,0,13.9,-0.3,0.79,Enrolled
1,43,1,9773,1,1,140,1,3,37,3,7,116.9,0,0,0,1,0,32,0,13.9,-0.3,0.79,Enrolled
1,1,1,171,1,1,137,1,1,3,3,7,146.5,1,0,1,1,0,19,0,8.9,1.4,3.51,Enrolled
1,5,1,171,1,1,137,1,3,19,1,10,144.7,1,0,0,1,0,20,0,16.2,0.3,-0.92,Enrolled
1,15,1,9147,1,1,133.1,21,1,3,192,3,100,0,0,1,1,0,40,1,11.1,0.6,2.02,Enrolled
1,1,4,9147,1,1,120,1,38,38,5,10,111.3,0,0,0,1,0,20,0,12.4,0.5,1.79,Enrolled
1,44,1,9130,1,39,150,1,1,1,4,4,150,1,0,0,0,0,20,0,10.8,1.4,1.74,Enrolled
1,1,3,9500,1,1,136,1,1,19,4,9,131.1,1,0,0,0,0,19,0,15.5,2.8,-4.06,Enrolled
1,1,1,9085,1,1,126,1,3,1,2,8,123.9,1,0,0,0,0,19,0,12.4,0.5,1.79,Enrolled
1,17,1,9853,1,1,119,1,3,3,132,132,110.6,0,0,0,0,0,20,0,11.1,0.6,2.02,Enrolled
1,1,3,9500,1,1,154,1,3,3,1,3,129,1,0,0,0,0,18,0,9.4,-0.8,-3.12,Enrolled
1,1,1,9853,1,1,127,1,3,1,3,7,137.2,1,0,0,0,0,18,0,10.8,1.4,1.74,Enrolled
1,53,1,9070,1,42,130,1,40,19,3,5,130,1,0,0,0,1,22,0,8.9,1.4,3.51,Enrolled
1,17,2,9147,1,1,118,1,19,1,9,3,113.5,1,0,1,0,0,20,0,11.1,0.6,2.02,Enrolled
1,1,1,9130,1,1,143,1,3,3,2,10,141.3,0,0,1,0,0,23,0,11.1,0.6,2.02,Enrolled
1,1,5,9070,1,1,123,1,3,1,9,3,121.3,1,0,0,0,0,20,0,12.4,0.5,1.79,Enrolled
1,51,1,9147,1,1,130,1,1,1,4,4,120,0,0,0,0,0,21,0,11.1,0.6,2.02,Enrolled
1,17,1,9070,1,1,136,1,1,37,4,5,130.8,0,0,0,0,0,20,0,10.8,1.4,1.74,Enrolled
1,17,2,9500,1,1,132,1,19,37,3,5,125.4,1,0,0,0,1,20,0,11.1,0.6,2.02,Enrolled
1,1,1,9085,1,1,140,6,1,19,4,7,131.6,1,0,0,0,0,20,1,12.4,0.5,1.79,Enrolled
1,43,1,9130,1,1,120,6,1,3,9,2,120,0,0,1,0,0,21,1,10.8,1.4,1.74,Enrolled
1,1,3,9119,1,1,133,1,3,1,3,4,121.8,1,0,0,1,0,18,0,8.9,1.4,3.51,Enrolled
1,51,1,9556,1,1,131,1,1,37,152,193,126.6,1,0,0,1,0,23,0,8.9,1.4,3.51,Enrolled
1,17,1,9147,1,1,116,1,3,1,3,4,115.7,0,0,0,1,0,22,0,8.9,1.4,3.51,Enrolled
1,1,1,9085,1,1,122,1,1,1,2,5,113.3,1,0,0,0,0,18,0,10.8,1.4,1.74,Enrolled
1,5,2,9853,1,1,122,1,19,19,4,5,112.6,1,0,0,0,0,22,0,12.7,3.7,-1.7,Enrolled
1,17,4,9119,1,1,127,1,19,19,5,5,120.4,1,0,1,1,0,18,0,9.4,-0.8,-3.12,Enrolled
1,1,1,9556,1,1,135,1,1,1,1,1,131.5,0,0,0,1,1,21,0,16.2,0.3,-0.92,Enrolled
1,1,1,9254,1,1,112,1,38,19,9,5,113.8,1,0,0,0,0,21,0,7.6,2.6,0.32,Enrolled
1,17,5,9238,1,1,130,1,19,1,5,5,130,1,0,0,0,0,20,0,9.4,-0.8,-3.12,Enrolled
4,39,1,9991,0,1,120,1,37,37,9,9,110,0,0,0,0,0,37,0,12.7,3.7,-1.7,Enrolled
2,39,1,8014,0,1,133.1,1,37,37,6,8,100,0,0,1,0,0,37,0,13.9,-0.3,0.79,Enrolled
1,39,1,9085,1,1,140,1,37,19,191,163,129.3,1,0,1,0,0,28,0,8.9,1.4,3.51,Enrolled
1,1,5,9147,1,1,125,1,37,38,7,7,122.2,1,0,0,0,0,18,0,7.6,2.6,0.32,Enrolled
1,39,1,9500,1,1,100,1,3,1,2,5,121.3,1,0,0,0,0,34,0,10.8,1.4,1.74,Enrolled
1,44,1,9991,0,39,150,1,37,37,6,6,150,0,0,0,0,0,31,0,9.4,-0.8,-3.12,Enrolled
1,1,1,9773,1,1,145,1,19,38,4,10,131.7,1,0,0,0,0,18,0,7.6,2.6,0.32,Enrolled
2,39,1,9238,1,19,133.1,1,37,37,9,9,130,1,0,0,0,0,31,0,9.4,-0.8,-3.12,Enrolled
1,1,2,9119,1,1,149,1,38,38,5,5,141,0,0,0,1,0,18,0,7.6,2.6,0.32,Enrolled
1,39,1,9119,1,1,150,1,1,38,3,5,120,0,0,0,1,0,24,0,15.5,2.8,-4.06,Enrolled
1,17,3,9119,1,1,120,1,1,19,9,3,116.9,1,0,1,1,0,18,0,8.9,1.4,3.51,Enrolled
2,39,1,9991,0,1,100,1,19,19,4,4,113,0,0,0,1,1,41,0,8.9,1.4,3.51,Enrolled
2,39,1,9991,0,1,130,1,38,38,9,3,145.6,0,0,0,1,0,34,0,13.9,-0.3,0.79,Enrolled
1,1,3,9500,1,1,113,1,3,1,134,135,107.8,1,0,0,0,1,20,0,12.4,0.5,1.79,Enrolled
1,44,1,9085,1,39,130,6,19,1,6,4,130,1,0,0,0,0,22,1,12.4,0.5,1.79,Enrolled
1,1,1,9853,1,1,120,1,19,37,5,7,115.1,0,0,0,0,1,18,0,15.5,2.8,-4.06,Enrolled
1,1,3,9070,1,1,125,1,1,38,9,7,118,0,0,0,0,1,18,0,11.1,0.6,2.02,Enrolled
1,1,1,9853,1,1,124,1,3,1,2,5,121.6,0,0,0,0,0,18,0,15.5,2.8,-4.06,Enrolled
1,1,1,9853,1,1,163,1,19,1,5,10,146.6,1,0,1,0,0,18,0,9.4,-0.8,-3.12,Enrolled
1,1,1,9853,1,1,145,1,38,37,5,5,142.2,0,0,0,0,0,19,0,9.4,-0.8,-3.12,Enrolled
1,51,1,9070,1,1,117,1,5,1,2,10,120,1,0,0,0,0,21,0,8.9,1.4,3.51,Enrolled
1,17,2,9853,1,1,114,1,1,1,4,0,108.8,1,0,0,0,0,18,0,13.9,-0.3,0.79,Enrolled
1,43,1,171,1,1,133,1,19,19,5,7,133,0,0,0,0,0,18,0,15.5,2.8,-4.06,Enrolled
1,1,2,9853,1,1,121,1,38,38,7,5,120,1,0,0,0,0,18,0,10.8,1.4,1.74,Enrolled
1,43,1,9147,1,1,123,1,3,19,9,9,113.2,0,0,0,0,0,21,0,7.6,2.6,0.32,Enrolled
1,1,2,9500,1,1,113,1,38,19,9,7,106.7,1,0,0,0,1,20,0,11.1,0.6,2.02,Enrolled
1,39,1,9991,0,1,120,1,38,38,3,3,140,0,0,0,0,0,25,0,15.5,2.8,-4.06,Enrolled
1,39,2,9556,1,1,130,1,37,37,9,9,159,1,0,0,0,0,25,0,12.4,0.5,1.79,Enrolled
1,39,1,9238,1,1,170,1,38,19,9,9,140,1,0,0,0,0,24,0,9.4,-0.8,-3.12,Enrolled
1,1,1,9147,1,1,138,1,37,37,194,171,131,1,0,0,0,0,19,0,12.4,0.5,1.79,Enrolled
1,17,6,9147,1,1,121,1,19,38,7,9,123.8,0,0,0,0,1,19,0,12.7,3.7,-1.7,Enrolled
1,16,2,9147,1,1,132,1,37,37,9,9,122.6,1,0,0,0,1,20,0,10.8,1.4,1.74,Enrolled
1,1,1,171,1,1,131,1,19,38,4,5,132.8,1,0,0,0,0,18,0,7.6,2.6,0.32,Enrolled
1,18,2,9853,1,1,120,1,1,1,9,0,115.8,0,0,0,0,0,18,0,13.9,-0.3,0.79,Enrolled
1,17,3,9147,1,1,112,1,1,19,3,5,107.8,1,0,0,0,0,19,0,10.8,1.4,1.74,Enrolled
1,1,1,9500,1,1,138,1,38,1,9,4,127.5,1,0,0,0,0,19,0,16.2,0.3,-0.92,Enrolled
1,1,1,9147,1,1,118,1,1,2,10,10,117.3,1,0,0,0,0,19,0,8.9,1.4,3.51,Enrolled
4,7,1,9500,1,40,130,1,37,37,3,3,130,1,0,0,0,0,32,0,12.4,0.5,1.79,Enrolled
1,39,1,9991,0,1,130,1,1,1,4,10,115.2,0,0,0,1,0,24,0,12.4,0.5,1.79,Enrolled
1,1,2,9500,1,1,133.1,1,19,38,192,192,96,1,0,0,0,0,19,0,11.1,0.6,2.02,Enrolled
2,7,1,9500,1,3,120,1,37,19,9,7,120,1,0,0,0,0,45,0,13.9,-0.3,0.79,Enrolled
1,17,1,9853,1,1,125,1,19,19,4,7,128.5,1,0,0,0,0,18,0,13.9,-0.3,0.79,Enrolled
2,39,1,9003,1,19,133.1,1,19,37,9,10,120,0,0,1,0,0,37,0,16.2,0.3,-0.92,Enrolled
1,17,1,9238,1,1,123,1,1,1,9,9,113.2,0,0,0,0,1,20,0,15.5,2.8,-4.06,Enrolled
1,1,4,9500,1,1,126,1,19,19,7,9,121.3,1,0,0,0,1,18,0,12.4,0.5,1.79,Enrolled
1,53,1,9085,1,42,140,1,1,1,4,3,140,1,0,1,0,0,21,0,8.9,1.4,3.51,Enrolled
1,39,1,9119,1,19,133.1,1,1,19,4,5,100,0,0,0,1,0,25,0,13.9,-0.3,0.79,Enrolled
1,53,1,9670,1,42,140,1,19,37,3,6,140,1,0,1,0,0,21,0,8.9,1.4,3.51,Enrolled
1,43,1,9085,1,1,170,1,19,19,5,1,170,1,0,0,0,0,19,0,12.7,3.7,-1.7,Enrolled
1,53,1,9991,0,1,140,1,38,38,191,193,135,0,0,1,0,0,23,0,8.9,1.4,3.51,Enrolled
1,17,1,9773,1,1,121,1,37,19,9,10,113.7,0,0,0,0,0,18,0,15.5,2.8,-4.06,Enrolled
1,39,1,8014,0,1,133.1,1,1,12,4,5,116.5,0,0,0,1,1,24,0,12.4,0.5,1.79,Enrolled
1,1,2,9070,1,1,129,1,1,1,4,9,132.9,1,0,0,1,1,20,0,7.6,2.6,0.32,Enrolled
1,17,2,9119,1,1,120,1,1,19,9,8,117.2,0,0,0,1,1,18,0,11.1,0.6,2.02,Enrolled
1,18,1,9254,1,1,118,1,38,38,5,5,123.3,1,0,0,1,0,26,0,9.4,-0.8,-3.12,Enrolled
1,1,1,9670,1,1,127,1,19,1,5,7,118.3,1,0,0,0,0,18,0,13.9,-0.3,0.79,Enrolled
